stadium,attendance,home_team,away_team,home_goals,away_goals,home_expected_goals,home_total_shots,Home_ shots_on_target,home_big_chances,home_big_chances_missed,home_accurate_passes,home_fouls_committed,home_corners,home_total_shots.,home_shots_off_target,home_shots_on_target.,home_blocked_shots,home_hit_woodwork,home_shot_inside_box,home_shot_outside_box,home_expect_goal_openplay,home_expected_goal_setpiece,home_nonpenalty_expected_goal,home_expected_goal_ontarget,home_passes,home_accurate_passes,home_passes_own_half,home_passes_opposition_half,home_accurate_long_ball,home_accurate_crosses,home_throw_in,home _touches_in_opposition_box,home_offsides,home_yellow_cards,home_red_cards,home_tackles_won,home_interceptions,home_block,home_clearances,home_keeper_saves,home_duels_won,home_ground_duels_won,home_ariel_duels_won,home_succesful_dribbles,away_expected_goals,away_total_shots,away_shots_on_target,away_big_chances,away_big_chances_missed,away_accurate_passes,away_fouls_commited,away_corners,away_total_shots,away_shots_off_target,away_shots_on_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_expected_goal_open_play,away_expected_goal_setpiece,away_nonpenalty_expected_goal,away_expected_goal_on_target,away_passes,away_accurate_passes,away_passes_own_half,away_passes_opposition_half,away_accurate_long_balls,Away_accurate_crosses,away_throw_in,away_touches_in_opposition_box,away_offsides,away_yellow_cars,away_red_cars,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_saves,away_duels_won,away_ground_duels_won,away_ariel_duels_won,away_successful_dribbles
Fuball Arena Mnchen,60052,Germany,Scotland,5,1,2.15,20,10,1,0,643,15,5,20,5,10,5,0,10,10,1.09,0.27,1.36,3.33,683,643,227,416,19,5,12,31,4,2,0,9,2,0,16,0,34,25,9,6,0.02,1,0,0,0,189,9,0,1,1,0,0,0,1,0,0,0.02,0.02,0,251,189,139,50,18,1,14,2,0,1,1,8,6,5,22,5,41,34,7,5
Cologne Stadium,41676,Hungary,Switzerland,1,3,1.25,6,2,3,2,643,9,2,6,3,2,1,0,5,1,0.91,0.34,1.25,0.98,438,643,222,143,37,5,20,10,3,2,0,11,5,5,23,4,48,32,16,4,2.33,15,7,3,1,189,13,6,15,3,7,5,0,11,4,2.11,0.21,2.33,2.41,452,189,180,200,21,2,24,32,2,2,0,9,6,1,17,1,41,26,15,5
Olympiastadion Berlin,68844,Spain,Croatia,3,0,2.01,11,5,4,2,365,14,5,11,3,5,3,0,8,3,1.06,0.95,2.01,2.69,457,365,229,154,20,4,14,21,2,1,0,10,5,3,10,5,55,36,19,12,2.38,16,5,3,3,380,13,0,16,8,5,3,0,10,6,1.59,0.2,1.59,2.4,517,380,272,184,21,4,23,27,0,0,0,10,9,3,4,2,47,37,10,10
BVB Stadion Dortmund,60512,Italy,Albania,2,1,1.56,17,5,5,4,365,7,5,17,5,5,7,1,12,5,1.05,0.51,1.56,1.59,809,365,264,483,21,7,17,34,2,2,0,5,15,2,6,0,31,25,6,9,0.5,8,1,2,1,380,7,3,8,5,1,2,0,4,4,0.43,0.08,0.5,0.59,372,380,217,96,17,2,15,7,1,2,0,5,13,6,15,3,26,16,10,2
Volksparkstadion,48117,Poland,Netherlands,1,2,1.32,12,7,2,2,383,10,3,12,4,7,1,0,8,4,0.73,0.6,1.32,1.41,295,383,130,102,12,4,13,17,2,0,0,9,7,3,26,2,39,30,9,7,1.46,21,4,3,2,456,8,6,21,14,4,3,0,14,7,1.34,0.12,1.46,1.15,579,456,230,284,24,6,29,44,0,1,0,11,3,1,21,6,54,38,16,14
Stuttgart Arena,54000,Slovenia,Denmark,1,1,1.1,11,2,2,2,383,12,5,11,7,2,2,1,5,6,0.63,0.47,1.1,0.39,311,383,139,102,30,5,14,12,3,2,0,7,13,5,30,3,35,26,9,3,1.66,16,4,2,1,456,9,9,16,6,4,6,0,12,4,0.62,1.04,1.66,1.97,658,456,271,312,17,9,16,33,1,1,0,2,5,2,17,1,40,19,21,1
Arena AufSchalke,48953,Serbia,England,0,1,0.18,6,1,0,0,747,19,2,6,2,1,3,0,1,5,0.16,0.02,0.18,0.04,504,747,218,220,20,2,19,11,0,2,0,10,5,1,17,2,36,28,8,8,0.52,5,3,2,1,313,8,1,5,1,3,1,1,2,3,0.48,0.05,0.52,1.45,588,313,243,284,30,2,8,12,1,0,0,6,8,3,22,1,50,36,14,8
Fuball Arena Mnchen,61591,Romania,Ukraine,3,0,1.2,9,5,1,0,747,9,4,9,2,5,2,1,3,6,0.31,0.9,1.2,1.58,237,747,75,95,15,1,19,10,1,1,0,3,6,5,31,3,37,27,10,11,0.75,13,2,0,0,313,8,8,13,5,2,6,1,5,8,0.6,0.14,0.75,0.17,591,313,228,288,18,1,13,19,1,1,0,11,5,2,7,2,43,32,11,7
Frankfurt Arena,45181,Belgium,Slovakia,0,1,1.7,16,5,4,4,232,14,5,16,6,5,5,0,10,6,1.52,0.18,1.7,1.02,573,232,308,180,22,4,18,34,2,3,0,7,2,2,15,3,40,32,8,8,0.57,10,4,1,0,514,10,7,10,4,4,2,0,6,4,0.53,0.04,0.57,1.37,367,514,170,113,25,6,19,15,1,1,0,4,9,6,19,5,37,27,10,6
Dsseldorf Arena,46425,Austria,France,0,1,0.76,6,3,2,2,232,18,6,6,2,3,1,0,4,2,0.66,0.1,0.76,1.5,476,232,203,198,14,4,18,19,0,5,0,13,3,5,19,3,48,40,8,4,2.13,14,3,2,2,514,11,2,14,6,3,5,0,12,2,2.01,0.12,2.13,0.39,453,514,231,159,24,2,23,35,1,2,0,7,6,1,31,3,64,45,19,12
BVB Stadion Dortmund,59127,Turkiye,Georgia,3,1,3.01,22,8,5,4,241,10,5,22,7,8,7,1,11,11,2.66,0.35,3.01,3.06,573,241,158,353,13,4,14,24,2,2,0,15,6,4,18,3,47,28,19,3,1.37,14,5,5,4,583,7,5,14,6,5,3,2,11,3,1.31,0.06,1.37,1.13,441,583,224,155,21,6,18,22,1,1,0,16,8,7,27,5,52,39,13,6
Leipzig Stadium,38421,Portugal,Czechia,2,1,1.85,19,8,4,3,241,6,13,19,4,8,7,0,10,9,1.79,0.06,1.85,2.28,704,241,228,390,28,4,17,35,3,2,0,8,4,2,7,0,50,26,24,10,0.43,5,1,0,0,583,9,0,5,2,1,2,0,3,2,0.3,0.12,0.43,0.34,257,583,91,78,12,1,12,8,1,1,0,10,11,7,31,7,40,25,15,4
Volksparkstadion,46784,Croatia,Albania,2,2,2.68,22,10,5,4,438,15,3,22,7,10,5,0,15,7,2.01,0.68,2.68,2.92,634,438,154,418,12,9,14,36,0,1,0,12,14,6,7,5,64,44,20,16,1.46,15,7,4,2,527,11,1,15,2,7,6,0,9,6,1.43,0.03,1.46,2.43,311,527,147,100,29,4,8,19,4,3,0,7,9,6,26,8,36,28,8,3
Stuttgart Arena,54000,Germany,Hungary,2,0,1.4,19,7,3,1,438,12,11,19,5,7,7,0,11,8,1.22,0.17,1.4,3.01,718,438,218,450,22,4,12,36,0,2,0,11,6,4,20,3,42,31,11,4,1.18,11,4,4,4,527,10,7,11,4,4,3,0,7,4,0.64,0.54,1.18,1.16,308,527,177,71,16,1,12,16,1,2,0,6,5,6,31,5,41,29,12,4
Cologne Stadium,42711,Scotland,Switzerland,1,1,0.76,12,3,2,2,170,11,5,12,5,3,4,1,9,3,0.36,0.4,0.76,1.22,374,170,169,118,23,9,24,25,0,3,0,5,2,1,18,3,46,21,25,2,1.13,11,4,2,2,516,11,8,11,6,4,1,0,9,2,0.94,0.19,1.13,0.83,420,516,198,146,29,2,22,17,5,2,0,5,8,3,24,2,38,25,13,5
Fuball Arena Mnchen,63028,Slovenia,Serbia,1,1,1.37,11,4,2,1,170,13,4,11,4,4,3,1,6,5,1.35,0.03,1.37,1.22,346,170,129,140,24,4,17,16,0,2,0,13,6,8,36,3,54,34,20,7,1.64,15,4,3,3,516,8,9,15,3,4,8,1,11,4,1.2,0.44,1.64,1.8,527,516,243,219,25,9,18,24,0,4,0,10,5,3,15,3,57,38,19, 
Frankfurt Arena,46177,Denmark,England,1,1,0.82,16,7,1,1,488,13,4,16,4,7,5,0,6,10,0.38,0.43,0.82,0.79,548,488,237,239,17,5,11,21,4,3,0,12,11,1,11,3,45,26,19,4,0.87,12,4,4,3,283,5,2,12,7,4,1,1,7,5,0.84,0.03,0.87,1.64,528,283,257,198,30,2,18,13,0,1,0,7,7,5,16,6,47,34,13,11
Arena AufSchalke,49528,Spain,Italy,1,0,2.02,20,9,6,6,488,17,5,20,8,9,3,2,11,9,1.81,0.21,2.02,2.1,590,488,226,311,22,5,9,28,0,3,0,8,9,0,11,1,53,44,9,14,0.16,4,1,1,1,283,14,2,4,3,1,0,0,3,1,0.03,0.13,0.16,0.08,440,283,233,131,18,4,12,12,0,2,0,16,9,4,15,8,61,50,11,2
Dsseldorf Arena,43910,Slovakia,Ukraine,1,2,0.86,14,5,2,1,401,9,4,14,4,5,5,0,7,7,0.41,0.45,0.86,2.33,534,401,270,210,15,4,22,17,2,0,0,8,5,5,15,3,37,31,6,10,1.51,13,5,3,1,390,12,4,13,3,5,5,1,9,4,1.08,0.43,1.51,1.76,419,390,243,125,23,3,14,24,5,1,0,11,8,5,19,4,44,33,11,5
Olympiastadion Berlin,69455,Poland,Austria,1,3,1.68,15,3,2,1,401,15,4,15,5,3,7,0,8,7,0.77,0.9,1.68,1.27,390,401,197,114,11,6,26,13,0,4,0,5,6,4,21,6,42,30,12,9,2.13,15,9,3,1,390,15,3,15,2,9,4,0,10,5,1.2,0.14,1.34,2.88,443,390,167,206,14,4,18,24,2,2,0,5,16,7,19,2,43,30,13,5
Leipzig Stadium,38531,Netherlands,France,0,0,0.47,8,4,1,1,511,13,3,8,0,4,4,0,4,4,0.4,0.07,0.47,0.97,398,511,236,116,12,3,12,12,4,1,0,7,3,5,23,3,22,16,6,0,1.43,15,3,2,2,379,8,6,15,7,3,5,0,8,7,1.34,0.09,1.43,1.18,660,379,277,332,19,4,17,20,0,0,0,7,2,3,9,4,38,34,4,9
Volksparkstadion,46524,Georgia,Czechia,1,1,1.11,5,1,2,1,511,12,5,5,3,1,1,0,3,2,0.33,0.28,0.33,0.99,310,511,131,115,19,0,13,13,0,4,0,13,5,7,45,11,54,43,11,9,3.07,27,12,4,3,379,17,11,27,8,12,7,1,15,12,1.19,1.87,3.07,4,493,379,150,280,15,9,18,27,1,5,0,16,3,1,19,0,56,35,21,3
BVB Stadion Dortmund,61047,Turkiye,Portugal,0,3,0.72,11,3,1,1,618,16,9,11,4,3,4,0,4,7,0.63,0.09,0.72,0.72,433,618,210,163,18,2,11,13,0,3,0,10,8,2,13,1,44,38,6,10,1.86,12,3,3,1,169,8,1,12,7,3,2,0,9,3,1.86,0,1.86,1.63,566,169,293,212,18,6,17,33,4,2,0,6,9,4,18,3,49,39,10,8
Cologne Stadium,42535,Belgium,Romania,2,0,1.76,20,9,3,2,618,9,7,20,5,9,6,0,14,6,1.52,0.23,1.76,3.21,431,618,173,192,32,1,25,42,5,1,0,12,7,3,22,4,53,39,14,10,0.94,14,5,2,2,169,11,7,14,7,5,2,0,7,7,0.63,0.31,0.94,0.83,352,169,135,151,21,4,23,19,1,2,0,9,4,6,24,7,39,31,8,1
Stuttgart Arena,54000,Scotland,Hungary,0,1,0.17,4,0,0,0,572,16,2,4,1,0,3,0,2,2,0.07,0.1,0.17,0.19,501,572,242,169,25,6,18,16,3,1,0,5,6,2,26,4,67,30,37,7,1.22,14,5,3,2,247,13,6,14,7,5,2,2,8,6,0.95,0.28,1.22,1.31,357,247,146,113,23,2,23,21,5,5,0,9,6,3,15,0,57,36,21,3
Frankfurt Arena,46685,Switzerland,Germany,1,1,0.6,4,3,1,0,572,14,2,4,1,3,0,0,1,3,0.6,0,0.6,1.58,331,572,145,117,18,0,18,10,2,3,0,9,8,5,16,2,38,30,8,3,1.56,18,3,3,2,247,12,9,18,10,3,5,1,12,6,0.97,0.59,1.56,1,636,247,264,307,20,8,12,39,2,1,0,9,7,0,11,2,48,40,8,10
Dsseldorf Arena,46586,Albania,Spain,0,1,0.48,10,4,0,0,668,6,2,10,3,4,3,0,4,6,0.24,0.24,0.48,0.84,407,668,212,128,21,2,18,11,1,2,0,9,13,3,24,2,51,44,7,12,1.51,16,3,2,1,248,15,6,16,9,3,4,0,12,4,1.33,0.18,1.51,1.34,577,248,246,272,31,7,12,31,2,1,0,12,5,3,20,4,42,27,15,6
Leipzig Stadium,38322,Croatia,Italy,1,1,1.49,6,4,3,2,668,18,2,6,0,4,2,0,4,2,0.7,0,0.7,2.47,504,668,246,199,20,2,12,21,0,6,0,12,14,7,28,2,32,29,3,9,0.9,12,3,3,2,248,6,11,12,2,3,7,0,10,2,0.33,0.57,0.9,1.47,569,248,261,229,32,6,20,26,2,2,0,4,1,1,13,3,46,34,12,5
BVB Stadion Dortmund,59728,France,Poland,1,1,2.32,19,8,5,4,287,12,11,19,3,8,8,0,12,7,1.3,0.23,1.54,3.4,548,287,180,301,21,6,14,57,1,1,0,15,6,2,12,2,55,45,10,14,1.16,10,3,2,1,344,15,3,10,5,3,2,0,5,5,0.24,0.14,0.38,1.28,405,344,238,105,14,2,12,8,0,3,0,10,10,8,31,7,41,38,3,7
Olympiastadion Berlin,68363,Netherlands,Austria,2,3,1.73,11,2,4,3,287,10,5,11,6,2,3,1,9,2,1.5,0.23,1.73,1.33,428,287,204,154,17,5,26,21,1,0,0,13,4,3,5,3,58,42,16,9,0.95,9,5,2,1,344,16,2,9,1,5,3,0,5,4,0.31,0.63,0.95,1.98,404,344,181,136,33,3,16,15,1,3,0,16,10,3,14,0,49,39,10,7
Fuball Arena Mnchen,64288,Denmark,Serbia,0,0,0.67,10,3,1,1,269,11,8,10,5,3,2,0,6,4,0.58,0.09,0.67,0.44,562,269,261,213,25,3,15,19,0,2,0,5,10,1,20,1,43,17,26,3,0.29,5,1,0,0,462,5,2,5,3,1,1,0,4,1,0.29,0,0.29,0.08,488,462,264,136,30,7,17,10,3,2,0,7,8,2,25,3,46,25,21,2
Cologne Stadium,41536,England,Slovenia,0,0,0.8,12,4,1,1,269,11,6,12,4,4,4,0,6,6,0.68,0.12,0.8,0.56,746,269,288,394,31,8,17,28,2,3,0,3,3,1,5,1,26,19,7,5,0.15,4,1,0,0,462,9,0,4,2,1,1,0,1,3,0.15,0,0.15,0.09,275,462,100,103,13,1,12,6,0,2,0,10,4,4,24,3,35,29,6,4
Frankfurt Arena,45033,Slovakia,Romania,1,1,0.86,13,4,1,0,476,11,5,13,7,4,2,0,9,4,0.63,0.23,0.86,0.58,437,476,220,124,20,7,24,22,3,1,0,5,8,0,23,4,39,20,19,2,1.19,9,5,1,0,455,10,1,9,4,5,0,0,6,3,0.36,0.04,0.4,1.41,323,455,130,95,16,0,23,10,1,3,0,7,7,2,29,3,39,27,12,7
Stuttgart Arena,54000,Ukraine,Belgium,0,0,0.82,13,4,0,0,476,9,3,13,5,4,4,0,6,7,0.62,0.19,0.82,0.29,374,476,190,123,22,4,16,16,2,1,0,9,11,4,20,4,45,30,15,4,0.88,12,4,1,1,455,8,7,12,4,4,4,0,6,6,0.8,0.08,0.88,0.71,564,455,233,260,27,1,18,19,0,1,0,3,2,4,10,4,32,20,12,8
Volksparkstadion,47683,Czechia,Turkiye,1,2,1.62,12,7,4,3,537,16,3,12,3,7,2,0,8,4,0.55,1.06,1.62,1.67,229,537,94,66,28,5,19,25,0,5,2,6,2,7,19,3,39,22,17,7,1.46,18,5,1,1,364,9,7,18,6,5,7,0,11,7,1.37,0.09,1.46,2.32,512,364,200,247,25,2,14,33,1,11,0,11,4,3,19,5,60,42,18,12
Arena AufSchalke,49616,Georgia,Portugal,2,0,1.65,7,3,3,1,537,6,1,7,3,3,1,0,7,0,0.86,0,0.86,1.63,270,537,146,60,15,0,14,11,0,1,0,13,4,8,26,5,47,40,7,9,2.04,22,5,4,4,364,11,11,22,9,5,8,0,13,9,1.45,0.59,2.04,0.52,690,364,129,513,12,8,11,30,1,3,0,10,8,1,10,1,49,37,12,13
Olympiastadion Berlin,68172,Switzerland,Italy,2,0,1.25,16,4,2,1,480,9,4,16,5,4,7,1,8,8,1.18,0.07,1.25,2.14,513,480,184,286,15,0,18,22,0,0,0,8,6,3,26,1,36,28,8,5,0.73,11,1,1,1,368,15,6,11,7,1,3,2,4,7,0.71,0.01,0.73,0.07,520,368,189,266,6,3,14,12,1,3,0,10,8,6,17,2,39,28,11,7
BVB Stadion Dortmund,61612,Germany,Denmark,2,0,2.58,15,9,5,3,480,7,6,15,5,9,1,0,9,6,1.4,0.39,1.79,4.06,536,480,199,277,24,4,20,20,4,0,0,6,8,5,22,2,45,30,15,10,1.18,11,2,1,1,368,15,6,11,4,2,5,0,8,3,0.91,0.28,1.18,0.77,435,368,202,165,25,3,10,25,3,2,0,12,4,1,18,7,40,29,11,4
Arena AufSchalke,47244,England,Slovakia,2,1,1.52,16,2,2,1,311,12,9,16,7,2,7,1,9,7,0.66,0.86,1.52,0.84,808,311,406,302,30,6,24,38,1,3,0,9,6,3,9,2,70,48,22,14,2.15,13,3,2,1,373,19,1,13,7,3,3,0,8,5,2.01,0.14,2.15,1.21,472,373,183,196,19,6,13,19,2,6,0,12,9,7,44,0,61,34,27,2
Cologne Stadium,42233,Spain,Georgia,4,1,3.36,35,13,5,3,311,11,13,35,11,13,11,0,20,15,2.61,0.75,3.36,5.09,792,311,166,582,19,8,15,48,3,1,0,10,6,1,8,0,45,35,10,12,0.25,4,0,0,0,373,5,3,4,3,0,1,0,1,3,0.25,0,0.25,0,263,373,175,33,13,0,8,4,0,1,0,10,7,11,28,9,41,36,5,7
Dsseldorf Arena,46810,France,Belgium,1,0,1.06,19,2,1,1,352,7,5,19,16,2,1,0,13,6,0.76,0.29,1.06,0.3,609,352,189,373,23,7,14,39,1,3,0,11,7,2,18,3,41,34,7,9,0.23,5,2,0,0,609,10,2,5,1,2,2,0,3,2,0.23,0,0.23,0.08,496,609,302,140,20,1,15,13,0,2,0,11,7,1,18,2,40,30,10,6
Frankfurt Arena,46576,Portugal,Slovenia,0,0,1.97,20,6,1,1,352,8,11,20,8,6,6,2,11,9,0.67,0.51,1.18,1.44,770,352,308,371,29,11,24,38,4,1,0,16,12,2,25,2,83,61,22,22,0.6,10,2,1,1,609,17,4,10,6,2,2,0,3,7,0.43,0.18,0.6,0.53,305,609,96,91,24,2,25,10,6,5,0,22,9,6,37,6,72,48,24,7
Fuball Arena Mnchen,65012,Romania,Netherlands,0,3,0.28,5,1,0,0,246,8,4,5,3,1,1,0,2,3,0.28,0,0.28,0.08,271,246,124,79,23,2,17,10,0,2,0,5,8,6,35,3,26,19,7,1,2.93,23,6,6,4,430,9,13,23,11,6,6,1,17,6,2.46,0.47,2.93,2.26,500,430,210,228,25,7,22,50,4,2,0,4,9,1,23,1,47,31,16,11
Leipzig Stadium,38305,Austria,Turkiye,1,2,3.14,21,5,5,4,246,12,10,21,9,5,7,0,14,7,2.22,0.93,3.14,2.1,564,246,189,281,23,13,24,31,2,2,0,5,5,1,13,2,44,24,20,7,0.92,6,3,2,0,430,5,4,6,2,3,1,0,5,1,0.19,0.73,0.92,1.78,379,430,178,125,21,4,16,10,1,2,0,8,13,7,55,4,56,39,17,7
Stuttgart Arena,54000,Spain,Germany,2,1,1.41,18,6,3,2,373,17,1,18,9,6,3,0,6,12,1.35,0.06,1.41,1.49,576,373,235,261,32,4,8,28,3,5,1,11,11,7,37,5,70,50,20,13,2.15,23,5,5,4,505,22,5,23,11,5,7,1,14,9,2.05,0.09,2.15,1.91,588,505,236,262,28,12,21,45,2,8,0,14,9,3,19,4,56,46,10,7
Volksparkstadion,47789,Portugal,France,0,0,1.84,15,4,4,4,373,8,11,15,5,4,6,0,11,4,1.73,0.11,1.84,1.18,869,373,457,357,25,3,21,29,1,1,0,11,8,5,19,5,43,40,3,11,1.14,20,5,2,2,505,13,4,20,9,5,6,2,7,13,1.07,0.06,1.14,0.31,586,505,228,309,35,3,10,25,2,1,0,13,6,6,35,4,48,44,4,14
Dsseldorf Arena,46907,England,Switzerland,1,1,0.65,13,3,0,0,365,8,4,13,2,3,8,0,7,6,0.64,0.01,0.65,1.27,670,365,230,385,46,6,22,37,3,1,0,16,6,2,21,2,59,47,12,11,1.47,11,3,1,0,286,13,3,11,6,3,2,1,10,1,1.47,0,1.47,1.23,623,286,273,298,24,5,16,30,0,2,0,12,3,8,30,2,42,34,8,7
Olympiastadion Berlin,70091,Netherlands,Turkiye,2,1,1.09,11,4,2,1,365,16,3,11,4,4,3,0,7,4,1,0.09,1.09,1.3,536,365,175,301,12,3,10,22,4,4,0,10,8,4,20,2,37,25,12,8,1.31,15,4,3,2,286,7,7,15,8,4,3,1,9,6,0.64,0.68,1.31,0.75,361,286,181,113,22,5,8,17,2,1,1,7,12,3,15,3,47,37,10,5
Fuball Arena Mnchen,62042,Spain,France,2,1,0.75,6,2,1,1,411,9,4,6,2,2,2,0,2,4,0.75,0,0.75,0.4,500,411,214,228,25,2,18,12,0,2,0,6,1,3,30,2,33,28,5,4,1.1,9,3,2,1,259,14,6,9,3,3,3,0,8,1,0.82,0.27,1.1,1.03,339,259,134,149,15,10,17,30,0,2,0,12,5,2,16,0,50,35,15,8
BVB Stadion Dortmund,60926,Netherlands,England,1,2,0.54,7,2,0,0,411,11,3,7,3,2,2,1,6,1,0.29,0.25,0.54,0.24,414,411,214,158,11,6,9,11,1,3,0,5,10,3,16,2,29,20,9,2,1.25,9,5,2,1,259,6,0,9,2,5,2,1,5,4,0.47,0,0.47,2.35,589,259,261,281,26,2,16,18,4,3,0,6,7,2,5,2,34,26,8,6
Olympiastadion Berlin,65600,Spain,England,2,1,1.77,16,6,5,3,262,11,10,16,5,6,5,0,12,4,1.56,0.2,1.77,2.12,545,262,232,257,24,4,21,30,1,1,0,10,5,4,15,2,35,22,13,3,0.55,9,4,2,2,571,5,2,9,2,4,3,0,5,4,0.2,0.35,0.55,0.55,294,571,126,103,23,1,11,16,0,3,0,12,5,5,27,4,43,33,10,4
